animal,pagina,tipo_texto,texto
Abanico lavandera,377,appearance,"Esta especie tiene las patas más largas que Otros colimbos, lo que puede ser una adaptación a la búsqueda de alimento en el suelo. El macho y la hembra tienen un plumaje similar; la cabeza, la garganta, la parte superior del pecho, las alas, las partes superiores y la cola son negras, con una ceja, ""bigotes"" y partes inferiores blancas. El pico y las patas son negros y el iris marrón oscuro. Las aves inmaduras en su primer año tras mudar del plumaje juvenil pueden tener las puntas de las alas pálidas, mientras que las aves juveniles propiamente dichas tienen un plumaje más apagado, con las partes superiores teñidas de marrón y algunos festones marrón pálido en la cabeza y el pecho. Un Abanico lavandera adulto mide entre 19 y 21,5 cm de longitud y pesa entre 17 y 24 g, con una cola de 10 a 11 cm de longitud. El pico, corto y esbelto, mide entre 1,64 y 1,93 cm (alrededor de 0,75 pulg.) y está provisto de un pequeño gancho en la punta."
Abanico lavandera,377,mating,"El Abanico lavandera es monógamo y suele emparejarse de por vida. Su época de cría dura de julio a diciembre, siendo más frecuente después de las lluvias en las Regiones más secas. Durante este tiempo pueden criar hasta cuatro nidadas. Las aves construyen un nido en forma de copa en la rama de un árbol, lejos de hojas o coberturas, a menos de 5 m del suelo. El nido consiste en tallos de hierba, tiras de corteza y Otro material fibroso que se ata y teje con una tela de araña. La hembra pone de 2 a 4 huevos pequeños de color blanco-crema con marcas parduscas y los incuba durante 14 días. Los polluelos son altriciales; nacen desnudos e indefensos con los ojos cerrados y permanecen en el nido. Ambos padres participan en la alimentación de las crías y pueden seguir haciéndolo mientras se embarcan en otra nidada. Los pollos permanecen en el nido unos 14 días antes de volar. Al salir, los volantones permanecerán escondidos en coberturas cercanas durante 1 o 2 días antes de aventurarse más lejos, hasta 20 m (66 pies) de distancia al tercer día. Los padres dejarán de alimentar a sus crías hacia el final de la segunda semana, ya que los pollos se alimentan cada vez más por sí mismos, y poco después los expulsarán del territorio."
Barnacla carinegra,378,habbit,"Fuera de la época de cría las barnaclas carinegras viven agrupadas en grandes bandadas. Las bandadas de barnaclas carinegras no suelen volar en la típica formación en V, vuelan rápidamente pero sin alinearas. Sus rutas migratorias no están fijadas genéticamente, sino que los individuos de cada subpoblación tiene que aprender sus rutas. Las barbaclas carinegras se alimentan de hierba, musgos, líquenes y plantas acuáticas. Las barnaclas son monógamas pero forman una nueva pareja si pierden a su compañero. La época de cría empieza en junio poco después de haber llegado a sus cuarteles de reproducción. Las barnaclas carinegras se reproducen colonialmente en la tundra costera ártica. También suelen criar en las islas costeras. Suelen anidar en pequeñas colonias situadas el lugares altos y secos de la tundra. No es infrecuente que aniden en las proximidades de las gaviotas y las rapaces, aunque no tan frecuentemente como los ánsares emperadores. Su nido tiene forma de cuenco, revestido internamente de hierba y plumón, situado en un lugar elevado. Habitualmente ponen de tres a cinco huevos. Los polluelos eclosionan tras 24 a 26 días de incubación, y su desarrollo tarda unos 40 días. Una vez que los polluelos nacen siguen a sus familias a los lagos, ríos y estuarios de la zona de cría. El vínculo de pareja desaparece en este periodo. Los machos dejan a las hembras tras la eclosión para agruparse en grupos de machos alejados. En este periodo se produce la muda dura desde mediados de julio hasta mediados de agosto.La muda completa comienza con la eclosión de los polluelos. El turno de la tarde que comienza a mediados de julio en aves adultas, dura aproximadamente hasta mediados de agosto, cuando los juveniles consiguen la capacidad de vuelo. "
Barnacla carinegra,378,appearance,"La barnacla carinegra es un ganso pequeño de pico corto y grueso. Mide entre 55-66 cm de largo, con una envergadura alar de 106-121 cm, y pesa entre 0,88 y 2,2 kg. Su plumaje es de tonos pardo grisáceos, con la cabeza y cuello negruzcos. Su bajo vientre y región caudal son de color blanco puro, en contrate con las réctrices negras de su corta corta, la más corta entre los gansos. El cuerpo de la subespecie B. b. bernicla es bastante uniformemente pardo grisáceo en todas sus partes, sus flancos y la barriga no son significativamente más pálidos que el dorso. La cabeza y el cuello son negros, con manchas blancas en los laterales de la parte superior del cuello. La subespecie B. b. hrota en general tiene más variedad de tonos de pardo grisáceo en su cuerpo. Presentan un contraste marcado entre los tonos claros de sus flancos y vientre y su espalda oscura. Su cabeza y el cuello son negruzcos, con una mancha pequeña a cada lado del cuello. En cambio, en B. b. nigricans los tonos pardos negruzcos están más extendidos, y presenta grandes contrastes entre el blanco y los tonos negruzcos. Su espalda y sus partes inferiores son casi del mismo tono pardo negruzco, llegando las partes oscuras no solo más abajo sino también más atrás que en las otras formas, en cambio, tiene una gran mancha blanca prominente en el flanco. También tiene una lista irregular blanca en el cuello, mucho más prolongada que las demás subespecies, que forma un collar casi completo."
Barnacla carinegra,378,mating,"Los gansos Barnacla carinegra son monógamos y forman parejas de por vida. Una pareja apareada suele viajar junta a las zonas de cría. El ánsar careto comienza a anidar en junio y las parejas pueden anidar solas o en colonias. El nido tiene forma de cuenco, forrado de hierba y plumón, en un lugar elevado, a menudo cerca de un pequeño estanque. La hembra suele poner de 3 a 5 huevos y los incuba durante unos 24-26 días. Durante este periodo el macho permanece siempre en las proximidades. Cuando los gansos salen del cascarón se cubren de plumón y abandonan el nido poco después de nacer. Emplumecen unas 6 semanas después y permanecen en grupos familiares hasta el siguiente periodo de cría. Los gansos Barnacla carinegra alcanzan la madurez reproductiva cuando tienen entre 2 y 3 años."
Pato zambullidor grande,379,habbit,"Los Patos zambullidores grandes suelen ser activos por la noche y duermen durante el día. Son aves sociales y suelen congregarse en parejas o en pequeños grupos, aunque algunos individuos pueden aparecer de forma solitaria. Los patos zambullidores grandes pasan la mayor parte del tiempo en el agua y suelen venir a tierra sólo durante el periodo de nidificación. Son excelentes nadadores y se alimentan principalmente buceando. Ocasionalmente buscan alimento en la superficie del agua. Los Patos zambullidores grandes son aves tímidas y, si se ven amenazados, suelen bucear o esconderse en la densa vegetación acuática. Son migratorios e invernan en bahías costeras y lagos y estanques no congelados. Los patos zambullidores grandes suelen ser silenciosos, sin embargo, durante la época de cría se vuelven más vocales mientras realizan exhibiciones de cortejo; hacen algunos tamborileos y los machos suelen producir una llamada ""chuck-chuck-chuck-chuck-churr""."
Pato zambullidor grande,379,appearance,"Los machos miden entre 14,2 y 15,2 cm de longitud, mientras que la hembra entre 13,5 y 14,5 cm. Los machos pesan de 500 a 800 gramos y las hembras de 300 a 600 gramos. Los machos adultos tienen un cuerpo color óxido-rojo, un pico azul y una cara blanca con el píleo negro. Las hembras adultas tienen el cuerpo color castaño grisáceo, la cabeza y el pico negruzcos, con una lista blanca atravesando horizontalmente la mejilla y la garganta y el cuello blanquecinos. La antigua subespecie Oxyura jamaicensis ferruginea del sur es considerada una especie distinta por muchos autores.  Es separable por su cara toda negra y el tamaño más grande. Oxyura jamaicensis andina es una supuesta subespecie que tiene una cantidad variable de coloridos negros en su cara blanca; puede ser, de hecho, nada más que una población híbrida entre el norteamericano y el pato rojo andino."
Pato zambullidor grande,379,mating,La nidada consiste de seis a diez huevos. La incubación toma de 23 a 26 días. Los pichones vuelan de 50 a 55 días. La longitud es de 35 a 43 cm.
Garceta azul,380,habbit,"Se encuentra en el agua dulce o salada. A diferencia de la mayoría de las garzas, la garceta azul le gusta convivir en grupo, aunque muchas veces se le puede observar solo con su pareja. Su alimentación consta de animales marinos como peces, algunas ranas, y de insectos. Puede poner de 3 a 7 huevos."
Garceta azul,380,appearance,"Esta especie puede llegar a medir de 55 a 60 cm de alto, y pesar 350 g.Tiene las patas largas al igual que el pico."
Garceta azul,380,mating,"Las Garzas azules son reproductoras monógamas. Esto significa que los machos se aparean con una sola hembra y las hembras con un solo macho. Anidan en grupos en los bordes de otras colonias de garzas. Normalmente, un macho no apareado llega primero a la zona de cría para establecer su pequeño territorio, que será el lugar de nidificación, alrededor de la horqueta de un árbol. El macho realiza entonces una ""exhibición de estiramiento"" ante las hembras, que consiste en una cresta y plumas del cuello erectas, apuntando con el pico hacia arriba y una pequeña embestida en el aire. Pone de 3 a 5 huevos en abril y la incubación dura entre 22 y 24 días, a cargo de ambos progenitores. Los padres alimentan a sus crías dejando caer comida en el nido y, más tarde, introduciéndola en la boca de los pollos. Alrededor de las 3 semanas los pollos abandonan el nido, comenzando con breves desplazamientos por la zona del nido. A los 30 días son capaces de volar fuera de la zona de nidificación. Se independizan en torno a los 42 o 49 días y son capaces de criar al año de edad."
Capuchino punteado,381,habbit,"Los Capuchinos punteados son aves sociales que forman bandadas de hasta 100 ejemplares. Son activas durante el día. Cuando buscan comida pueden hacerlo solas o buscar a Otro que la haya encontrado y unirse a él. Los Capuchinos punteados se comunican con llamadas que incluyen un silbido corto, variaciones de ""gatito-gatito-gatito"" y una nota aguda de alarma. A veces mueven la cola y las alas vertical u horizontalmente mientras saltan. Cuando se posan en comunidad, los Capuchinos punteados se sientan uno al lado del otro en estrecho contacto. El ave más externa a menudo se empuja hacia el centro. Las aves de una bandada a veces se acicalan unas a otras, y el ave solicitante suele mostrar la barbilla. El acicalamiento suele limitarse a la cara y el cuello. Los Capuchinos punteados rara vez son hostiles, pero a veces se pelean sin ninguna postura ritualizada."
Capuchino punteado,381,appearance,"Mide entre 11 y 12 cm de largo. El adulto tiene el pico oscuro, grueso y corto. Las partes superiores del cuerpo son color castaño, y la cabeza castaño oscuro. Las partes inferiores del cuerpo son blancas con marcas negras a modo de escamas."
Capuchino punteado,381,mating,"Los Capuchinos punteados son monógamos y forman parejas. Su época de cría es durante la estación lluviosa de verano (principalmente de junio a agosto y también en la estación de octubre en la India) pero puede variar. El canto del macho es muy suave pero complejo y variable, audible sólo a corta distancia. Cuando canta, el macho se sienta erguido con las plumas de la cabeza levantadas. El cortejo incluye una secuencia de acciones. La primera implica que el macho o la hembra jueguen con el material del nido. En cuanto el ave ha dispuesto el material del nido en su pico, comienza a volar en zigzag. Una vez que el ave aterriza cerca de su pareja, el macho se inclina hacia la hembra y le limpia el pico. El macho canta entonces con movimientos del cuerpo. El nido de estas aves es una gran estructura abovedada tejida sin apretar con briznas de hierba, bambú u otras hojas con una entrada lateral y se coloca en un árbol o bajo el alero de una casa. Las hembras suelen poner una nidada de 4-6 huevos, pero pueden llegar hasta 10. Ambos padres construyen el nido e incuban los huevos, que eclosionan en 10 a 16 días. Ambos padres alimentan también a los polluelos durante aproximadamente 3 semanas."
Capuchino arrocero de java,382,habbit,"Los gorriones de Java son aves diurnas y muy gregarias que viven y se alimentan en bandadas. Fuera de la época de cría, las bandadas pueden recorrer distancias cortas en busca de mejores zonas de alimentación. La llamada de los gorriones de Java es un ""chip"", y su canto es una serie rápida de notas de llamada ""chipchipchipchipchipchip""."
