animal,pagina,tipo_texto,texto
Víbora del gabón,1,habbit,"Las Víboras del gabón son criaturas solitarias y principalmente Nocturnas. Tienen fama de ser lentas y plácidas. Suelen cazar mediante emboscadas, pasando a menudo largos periodos inmóviles, esperando a que pase una presa adecuada. Sin embargo, también pueden cazar activamente, sobre todo durante las seis primeras horas de la noche. Suelen ser serpientes muy tolerantes, incluso cuando se las manipula, y rara vez muerden o sisean, a diferencia de la mayoría de las víboras. Sin embargo, se producen mordeduras por parte de individuos malhumorados. La locomoción es mayoritariamente rectilínea, en un lento movimiento de ""caminar"" de las escamas ventrales. Pueden retorcerse de lado a lado cuando se alarman, pero sólo durante distancias cortas. Si se sienten amenazadas, las Víboras del gabón pueden sisear fuertemente como advertencia, haciéndolo a un ritmo profundo y constante, aplanando ligeramente la cabeza en la expiración de cada respiración. A pesar de ello, es poco probable que ataquen a menos que se las provoque gravemente; sin embargo, son una de las serpientes que atacan más rápido del mundo."
Víbora del gabón,1,appearance,"Los adultos miden de media de 122 a 154 cm de longitud, aunque el récord lo ostenta un ejemplar de 205 cm capturado en Sierra Leona. Los sexos pueden distinguirse por la longitud de la cola con respecto al total del cuerpo, que suele ser aproximadamente un 12% en los machos y un 6% en las hembras. La cabeza es grande y triangular, con el cuello muy estrecho: al menos un tercio de la anchura de la cabeza. Un par de cuernos se presentan entre las fosas nasales, pequeños en Bitis gabonica gabonica, pero mucho más grandes en Bitis gabonica rhinoceros. Los ojos son grandes y móviles, rodeados por 15-21 escamas circumorbitales. Hay 12-16 escamas intraoculares en lo alto de la cabeza. 4-5 filas de escamas separan las suboculares y las supralabiales. Hay 13-18 supralabiales y 16-22 sublabiales. Los colmillos suelen superar la medida de 5 cm, y son los mayores colmillos de entre todas las serpientes. A mitad de cuerpo hay 28-46 filas de escamas dorsales, todas ellas fuertemente en quilla, excepto por las filas exteriores a cada lado. Las escamas laterales son ligeramente oblicuas. Las escamas ventrales en número de 124-140: raramente más de 132 en machos, y raramente menos de 132 en hembras. Hay 17-33 escamas emparejadas subcaudales; los machos no tienen menos de 25, y las hembras no más de 23. Sólo hay una escama anal. El patrón de color consiste en series de manchas pálidas subrectangulares, intercaladas con marcas oscuras, y marcas con forma de reloj de arena, de bordes amarillos. Los flancos tienen series de formas romboidales beiges o marrones, con barras verticales centrales más claras. El vientre es pálido con manchas irregulares marrones o negras. La cabeza es blanca o crema, con una fina y oscura línea central, manchas negras en las esquinas traseras y un triángulo negro detrás de cada ojo. El color del iris es crema, amarillo claro, naranja o plateado. Este diseño es perfecto para confundirse entre la hojarasca seca del suelo. Las mordeduras de esta especie son extremadamente raras porque su naturaleza es poco agresiva y su área de distribución se limita a las zonas de selva tropical. Dado que son perezosas y no están dispuestas a moverse ni siquiera cuando se les acercan, los humanos a los que muerden suelen ser aquellos que las pisan accidentalmente, e incluso entonces pueden no ser mordidos. Cuando se produce una mordedura, siempre debe considerarse una emergencia médica grave. Incluso una mordedura normal de un ejemplar de tamaño medio es potencialmente mortal. Debe administrarse un antídoto lo antes posible para salvar el miembro afectado o incluso la vida de la víctima. Dado que sus glándulas venenosas son enormes, cada mordedura produce la segunda mayor cantidad de veneno de cualquier serpiente venenosa; esto se debe en parte a que, a diferencia de muchas víboras africanas, como la Víbora bufadora, la Víbora del gabón no suelta después de una mordedura, lo que le permite inyectar mayores cantidades de veneno. El rendimiento está probablemente relacionado con el peso corporal, a diferencia del intervalo de ordeño. En los humanos, la mordedura de una Víbora del gabón provoca una rápida y llamativa hinchazón, dolor intenso, shock severo y ampollas locales. Otros síntomas pueden incluir movimientos descoordinados, defecación, micción, hinchazón de la lengua y los párpados, convulsiones e inconsciencia. Las ampollas, hematomas y necrosis pueden ser extensas. Pueden producirse hipotensión súbita, daño cardiaco y disnea. La sangre puede volverse incoagulable, con hemorragias internas que pueden provocar hematuria y hematemesis. El daño tisular local puede requerir la escisión quirúrgica y posiblemente la amputación de cualquier miembro afectado. La curación puede ser lenta y no son infrecuentes las muertes durante el periodo de recuperación."
Víbora del gabón,1,mating,"La Víbora del gabón se reproduce entre septiembre y diciembre. Durante este tiempo los machos entablan combate. Comienza cuando uno de los machos frota su barbilla contra la espalda del otro. A continuación, el segundo macho levanta la cabeza lo más alto posible. Mientras ambos hacen lo mismo, los cuellos se entrelazan. Cuando las cabezas están niveladas, se giran el uno hacia el otro y se empujan. Sus cuerpos se entrelazan mientras cambian de posición. Se vuelven ajenos a todo lo demás, continuando incluso después de caer de una superficie o al agua. A veces se entrelazan y aprietan con tanta fuerza que sus escamas sobresalen por la presión. También se les ha observado golpearse entre sí con la boca cerrada. Ocasionalmente, los combatientes se cansan y suspenden la lucha de ""mutuo acuerdo"", descansando un rato antes de reanudarla de nuevo. El acontecimiento se zanja cuando uno de los dos consigue empujar la cabeza del otro hacia el suelo y elevar la suya unos 20-30 cm. Las hembras suelen parir de 8 a 43 crías vivas a finales del verano. La gestación dura unos 7 meses. Las crías miden 30 cm al nacer y no necesitan cuidados parentales."
Abaniquillo verde del noreste,2,habbit,"Como muchas lagartijas, los anolis exhiben colas que pueden desprenderse y moverse; esto distrae al depredador y ayuda al anolis a escapar. Puede desarrollarse una nueva cola que contiene cartílago en lugar de hueso; normalmente la cola no volverá a crecer hasta la misma longitud que la primera, y puede mostrar una marcada diferencia en color y textura con respecto al resto del animal."
Abaniquillo verde del noreste,2,appearance,"El abaniquillo verde es una lagartija de tamaño pequeño de cabeza con hocico puntiagudo, cola y extremidades largas con dedos que terminan en garras y que presentan almohadillas adhesivas en los dedos que utilizan para caminar en las paredes. Los machos pueden mostrar una cresta dorsal pronunciada detrás de la cabeza cuando se exhiben o cuando están bajo estrés. Pueden presentar coloración verde, café o gris según el estado de animo o otros efectos. Tanto las hembras como los machos tienen una papada que usan para comunicarse; la papada de los machos es 3 veces más grande y de color más brillante. Los machos adultos suelen medir entre 12,5 y 20,3 cm de largo, de los cuales aproximadamente el 60-70% está formado por su cola, con una longitud corporal de hasta 7,5 cm. Pueden pesar de 3 a 7 gramos. El abaniquillo verde del noroeste es normalmente de color verde brillante con parpados celestes y vientre blanco, pero la coloración puede cambiar a marrón o gris según la temperatura, humedad, estado de salud y ánimo, nivel de actividad y como señal social (por ejemplo, como muestra de dominio). Aunque a menudo se afirma, la evidencia no respalda que lo hagan en modo de camuflaje.   Se cree que el cambio de color es debido a la termorregulación, aunque hay estudios que contradicen esto. Las hembras tienen una franja blanca prominente a lo largo de la columna vertebral, una característica de la que carecen la mayoría de los machos. Los abaniquillos verdes pueden cambiar de color mientras está bajo una sombra que contrasta mucho, lo que puede causar un ""efecto de estarcido"", en donde el contorno de la sombra se ""imprime"" temporalmente en la coloración del animal. Cuando está estresado, por ejemplo cuando se encuentra en una pelea, la piel justo detrás de los ojos del lagarto puede volverse negra independientemente del resto de la coloración del animal, formando unas ""manchas postoculares"". El cambio de color es el resultado de tres capas de células pigmentarias o cromatóforos:"
Abaniquillo verde del noreste,2,mating,"La temporada de reproducción típica de los abaniquillos verde comienza en abril y termina a fines de septiembre, la actividad gonadal está regulada en gran medida por el fotoperíodo, aumenta en primavera a medida que el clima se calienta y los días se alargan, y luego retrocede a fines del verano."
Massasauga,3,habbit,"Las masasagas son diurnas y llevan una vida solitaria. Durante los meses calurosos de verano, suelen estar activas temprano por la mañana y al caer la tarde, tratando de evitar el calor del día. Las masasagas se mantienen activas desde abril hasta finales de octubre y hibernan durante el invierno en pequeñas madrigueras abandonadas de otros animales pequeños. Estas serpientes de cascabel son muy buenas nadadoras e incluso pueden cazar a sus presas en el agua. Detectan a sus presas con el sentido del olfato y con la ayuda de fosas sensibles al calor ubicadas en sus caras. También pueden sentir vibraciones y tienen una buena vista. Cuando se sienten amenazadas, las masasagas advierten o muestran agresión sacudiendo la cola, enroscándose y atacando inesperadamente."
Massasauga,3,appearance,"Las massasaugas son de color gris o marrón claro, con una hilera de grandes manchas redondeadas marrón/negro en el centro de la espalda y tres hileras más pequeñas de manchas alternadas a cada lado. También se conocen ejemplares melanísticos completamente negros, así como casos en los que las manchas de la espalda se unen con las de los lados. Las massasaugas jóvenes tienen un patrón bien definido pero más claro que los adultos. Estas serpientes tienen fosas de detección de calor a cada lado de su cabeza pequeña y sus escamas tienen una quilla. El veneno de esta especie es un veneno citotóxico, por lo que destruye tejido. También contiene enzimas digestivas especializadas que interrumpen el flujo sanguíneo y evitan la coagulación de la sangre. La grave hemorragia interna provoca la muerte de los pequeños animales que esta serpiente se come. Después de la envenenación, la serpiente de cascabel es capaz de retirarse de los peligros de los animales presa con dientes afilados hasta que estén sometidos e incluso parcialmente digeridos por la acción del veneno. La mayoría de las mordeduras de serpiente de cascabel en Ontario han ocurrido después de que las personas manipularan deliberadamente o pisaran accidentalmente a uno de estos animales. Ambos escenarios se pueden prevenir evitando caminar por áreas de baja visibilidad (en el territorio de la serpiente de cascabel) cuando no se llevan zapatos y pantalones largos, y dejando en paz a las serpientes si se encuentran con ellas."
Massasauga,3,mating,"La temporada de reproducción de las massasaugas comienza en la primavera y también puede ocurrir en el otoño. Cuando las hembras están listas para aparearse, mudan su piel vieja y liberan feromonas que atraen a los machos. Las hembras dan a luz de 5 a 20 crías vivas, generalmente en madrigueras abandonadas de mamíferos o troncos caídos. El período de gestación dura alrededor de 3,5 meses. Las crías de serpiente nacen completamente desarrolladas y permanecen cerca de su madre durante unos días; después de eso, se dispersan. Las jóvenes massasaugas se vuelven reproductivamente maduras y listas para aparearse a los 3 o 4 años de edad."
Terrapene carolina carolina,4,habbit,"Los hábitos alimenticios de las tortugas de caja orientales puede variar mucho debido al gusto de cada una, la temperatura, la iluminación y su entorno. A diferencia de los animales de sangre caliente su metabolismo no maneja el hambre, solo puede disminuir su nivel de actividad, retirarse a sus caparazones y detener el consumo de alimentos hasta que surjan mejores condiciones. En la naturaleza las tortugas de caja del este son oportunistas omnívoras y se alimentan de una variedad de materia animal y vegetal. Hay una variedad de alimentos que son universalmente aceptados por las tortugas de caja del este, que incluyen gusanos, caracoles, escarabajos, orugas, hierbas, fruta caída, bayas, hongos, flores, el pasto de malas hierbas, y el carrión. Estudios en los humedales de la bahía de Maryland también han demostrado que las tortugas de caja del este se han alimentado de aves vivas que estaban atrapadas en redes. Muchas veces, van a comer un trozo de comida, sobre todo en cautividad, solo porque ven y huelen a comestibles, como hamburguesas o huevos, aunque el alimento puede ser nocivo o no saludable. También se sabe que han consumido hongos tóxicos. La evidencia anecdótica sugiere que los recién nacidos de tortugas de caja son más carnívoros que sus subadultos y adultos. No hay todavía ninguna evidencia concreta para apoyar esta teoría."
