
Murciélago común,1,habbit,"Normalmente son animales sedentarios aunque se han dado casos de ejemplares que han viajado varios centenares de kilómetros. Las hembras son más reacias a cambiar de territorio. Es frecuente encontrarlos cerca de faroles y luces artificiales, cazando a los insectos que son atraídos hasta ellas. No son especialmente rápidos o maniobrables en vuelo (?) pero sí que muestran unas capacidades medias que les permiten cierta versatilidad tanto en terrenos abiertos como en pleno bosque. Aunque usualmente hibernan, pueden verse en los días más calurosos del invierno bebiendo o cazando a las horas más calurosas. Pipistrellus pipistrellus emite dos tipos de llamadas de ecolocalización: una corta de 4 ms con un rango de 80-56 kHz, y una larga de 51 kHz que llega a 10 ms. Las llamadas son usadas para localizar y cazar a sus presas, ya que sus ojos están poco desarrollados."
Murciélago común,1,appearance,"Mide de 3,5 a 5 cm, la distancia entre sus alas al moverlas de vaivén varían entre 19 y 25 cm y son estrechas. Pesa de 3,5 a 8 g. Sus orejas son cortas, triangulares y con los vértices redondeados. Al igual que otros murciélagos de la familia Vespertilionidae, Pipistrellus pipistrellus posee un trago arriñonado, de punta redondeada y especialmente largo y desarrollado. El hueso premaxilar está fusionado al maxilar y su fórmula dentaria es de 2/3, 1/1, 2/2, 3/3 (arriba/abajo; incisivos, caninos, premolares y molares). Su hocico es corto y presenta abultamientos glandulares a ambos lados, que se desarrollan especialmente en otoño, junto a las glándulas labiales. Estas últimas constituyen las llamadas boqueras, de color blanquecino. Su piel es de color marrón, de tonalidades variables, pero normalmente más oscuras que en Pipistrellus pygmaeus. Las membranas de las alas y cola son más oscuras y carecen de pelo. La piel de la cara es más oscura que la del resto del cuerpo, llegando en ocasiones al negro."
Murciélago común,1,mating,"La época de reproducción tiene lugar entre finales del verano y principios de otoño, de finales de agosto a finales de septiembre. Los machos defienden territorios con harenes de hasta diez hembras. Realizan vuelos de cortejo alrededor de las hembras y emiten un fuerte olor a almizcle. Si la cópula se produce en un mal momento, las hembras pueden retrasar la fertilización de los óvulos, lo cual es una característica típica de los miembros de la familia Vespertilionidae."
Oribí,3,habbit,"Los oribíes son activos principalmente durante el día, pero a veces también pueden serlo por la noche. Son sociales y viven en pequeños grupos de hasta cuatro miembros. Sin embargo, durante la estación lluviosa, cuando los pastos son abundantes, los oribíes pueden asociarse en grupos más grandes. Los machos son territoriales y defienden el territorio de su grupo de los intrusos. Marcan la vegetación y el suelo de sus territorios mediante secreciones de las glándulas preorbitales y excrementos. Los Oribí tienen un comportamiento muy interesante llamado ""ceremonia del estiércol"", en el que todos los animales forman estercoleros temporales. Lo hacen para mantener los vínculos sociales dentro del grupo. Cuando se sienten amenazados, los oribíes prefieren esconderse entre arbustos o hierbas y permanecer quietos con las orejas gachas. Si son avistados, esprintarán por la llanura abierta. Después de 200 m pueden mirar hacia atrás para ver si aún les persiguen, y volverán a correr en zigzag para perder a un Depredador. Cuando están alarmados, los Oribí pueden dar saltos verticales con las patas rectas; este comportamiento se denomina ""stotting"". Cuando perciben el peligro, estos antílopes emiten silbidos de alarma. Estos silbidos suelen emitirlos los adultos, y los machos parecen silbar más."
Oribí,3,appearance,"Los oribíes son pequeños antílopes delicados que se encuentran en África. Tienen la espalda ligeramente elevada y el cuello y las extremidades largos. El pelaje lustroso de color marrón amarillento a rufo contrasta con el blanco de la barbilla, la garganta, las partes inferiores y la grupa. La cola tupida es de color marrón a negro en el exterior con el interior blanco. Sólo los machos tienen cuernos finos, rectos y lisos en las puntas y anillados en la base."
Oribí,3,mating,"Los oribíes tienen un sistema de apareamiento poliándrico (una hembra tiene múltiples parejas), poligínico (un macho tiene múltiples parejas) y poliginándrico (promiscuo) (tanto machos como hembras tienen múltiples parejas). Los oribíes son reproductores estacionales y la época de apareamiento varía según la ubicación. El pico suele producirse en la estación lluviosa, de agosto a septiembre. Las hembras paren una sola cría tras un periodo de gestación que dura entre 6 y 7 meses. En el sur de África los partos alcanzan su punto álgido entre noviembre y diciembre. El recién nacido se mantiene en un lugar oculto durante el primer mes tras el nacimiento. La madre visita a su cría con regularidad para amamantarla durante casi media hora. Los machos pueden proteger a sus crías de los Depredadores y mantener alejados a Otros machos. El destete suele tener lugar a los 4 ó 5 meses. Las hembras alcanzan la madurez reproductiva a los diez meses y los machos están listos para empezar a criar a los catorce meses."
Tenrec rayado de tierras bajas,4,habbit,"El tenrec rayado de las Tierras Bajas es la única especie de tenrec sociable, que se reúne en grupos. Los grupos de estos animales son unidades familiares, que constan de hasta 20 individuos. Son criaturas diurnas y pueden buscar alimento tanto de forma solitaria como en pequeños grupos. Se pueden encontrar en tierra, chapoteando en aguas poco profundas o cavando bajo tierra. Durante los meses de invierno (mayo-octubre), conservan el calor reduciendo su temperatura corporal a la del aire, mientras siguen siendo activos. Sin embargo, cuando hace demasiado frío, los tenrecs suelen entrar en períodos de letargo. Los sitios de anidación de los tenrecs de las Tierras Bajas se encuentran cerca del agua, en madrigueras fijas. Sus sitios de defecación están ocultos entre las hojas y suelen estar cerca de la entrada del nido. Los miembros de un grupo excavan madrigueras que se conectan entre sí, formando un sistema de madrigueras complejo que pertenece a un solo grupo. Los miembros del grupo se comunican a través de espinas especiales que producen un sonido al frotarse. Cuando se sienten amenazados, los tenrecs levantan las espinas, rodeando su cuello. Si se sienten amenazados, suelen intentar punzar al oponente con sus espinas, acompañado de movimientos violentos de la cabeza."
Tenrec rayado de tierras bajas,4,appearance,"Los tenrecs listados de tierras bajas son pequeños mamíferos insectívoros de Madagascar. Sus hocicos son largos y puntiagudos, mientras que su pelaje exhibe espinas. Se distinguen por dos características principales: la primera es una nariz de color negro y bastante larga, y la otra característica es un pelaje de color negro, con rayas amarillas y crestas de espinas amarillas brillantes, ubicadas en la parte superior de su cabeza y que actúan como un medio de autodefensa contra los depredadores."
Tenrec rayado de tierras bajas,4,mating,"Se sabe poco sobre el sistema reproductivo de esta especie. Se sabe que, durante la temporada de apareamiento, los machos compiten entre sí, participando en peleas para atraer la atención de las hembras receptivas. Los tenrecs de tierras bajas se aparean de septiembre a diciembre. El período de gestación dura de 55 a 63 días, produciendo de 2 a 11 crías con un promedio de 5 a 8 por camada. Los machos de tenrec de tierras bajas son cuidadosos con las crías. El destete ocurre a los 18-25 días de edad. Las hembras de esta especie alcanzan la madurez reproductiva tan temprano como a los 25 días de edad, siendo los únicos tenrecs que comienzan a reproducirse durante la misma temporada en la que nacieron."
Urocitellus parryii,5,habbit,El suslic ártico inverna desde principios de septiembre a finales de abril. Durante este tiempo la temperatura de su cuerpo puede pasar de los 37 °C a -3 °C. Durante los meses calurosos el suslic está activo de día. La comunicación entre suslics es sonora y física.
Urocitellus parryii,5,appearance,"Es de color beige con marcas blancas alrededor de los ojos, manchas blancas en la espalda y tiene la cola oscura. Tiene unos 39 cm de longitud y pesa unos 750 gramos de media."
Urocitellus parryii,5,mating,"Viven en colonias dominadas por un macho, se aparean a mediados de mayo y la gestación dura unos 25 días resultando en entre 5 y 10 cachorros."
